Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Granville County, NC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, NC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Guilford County, NC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037083              Estimate, Median Age by Sex, Total Population (5-year estimate) in Halifax County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Harnett County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037087              Estimate, Median Age by Sex, Total Population (5-year estimate) in Haywood County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037089              Estimate, Median Age by Sex, Total Population (5-year estimate) in Henderson County, NC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037091              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hertford County, NC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037093              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hoke County, NC                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037095              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hyde County, NC                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037097              Estimate, Median Age by Sex, Total Population (5-year estimate) in Iredell County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037099              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037101              Estimate, Median Age by Sex, Total Population (5-year estimate) in Johnston County, NC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037103              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jones County, NC                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037105              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, NC                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037107              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lenoir County, NC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037109              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037111              Estimate, Median Age by Sex, Total Population (5-year estimate) in McDowell County, NC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037113              Estimate, Median Age by Sex, Total Population (5-year estimate) in Macon County, NC                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037115              Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, NC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E037117              Estimate, Median Age by Sex, Total Population (5-year estimate) in Martin County, NC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
